idSucursal;idTipoPaquete;Servicio Cable;Fibra optica;Servicio Internet;Servicio Telefonía;PP Paquete;PN Paquete;Tarifa Promocional;SIMETRÍA;internet_promo;internet_promo_temp;tar_promocional_temp;QUERY
3;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '3', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
3;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '3', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
3;3;0;;60;1;$500;$600;0;1;;;;(NULL, '3', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
3;3;0;;100;1;$600;$700;0;1;;;;(NULL, '3', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
3;3;0;;250;1;$700;$800;0;1;;;;(NULL, '3', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
3;3;0;;500;1;$800;$900;0;1;;;;(NULL, '3', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
3;2;2;;60;1;$650;$750;;1;;;;(NULL, '3', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
3;2;2;;100;1;$750;$850;;1;;;;(NULL, '3', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
3;2;2;;250;1;$850;$950;;1;;;;(NULL, '3', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
3;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '3', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
3;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '3', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
4;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '4', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
4;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '4', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
4;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '4', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
4;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '4', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
4;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '4', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
4;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '4', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
4;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '4', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
4;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '4', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
4;3;0;;60;1;$500;$600;0;1;;;;(NULL, '4', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
4;3;0;;100;1;$600;$700;0;1;;;;(NULL, '4', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
4;3;0;;250;1;$700;$800;0;1;;;;(NULL, '4', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
4;3;0;;500;1;$800;$900;0;1;;;;(NULL, '4', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
4;2;2;;60;1;$650;$750;;1;;;;(NULL, '4', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
4;2;2;;100;1;$750;$850;;1;;;;(NULL, '4', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
4;2;2;;250;1;$850;$950;;1;;;;(NULL, '4', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
4;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '4', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
4;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '4', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
5;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '5', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
5;2;2;;60;1;$550;$600;400;0;120;6;6;(NULL, '5', '2', '2', '', '60', '1', '550', '600', '0', '120', '6', '400', '1', current_timestamp()),
6;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '6', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
6;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '6', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
6;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '6', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
6;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '6', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
6;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '6', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
6;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '6', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
6;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '6', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
6;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '6', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
6;3;0;;60;1;$500;$600;0;1;;;;(NULL, '6', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
6;3;0;;100;1;$600;$700;0;1;;;;(NULL, '6', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
6;3;0;;250;1;$700;$800;0;1;;;;(NULL, '6', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
6;3;0;;500;1;$800;$900;0;1;;;;(NULL, '6', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
6;2;2;;60;1;$650;$750;;1;;;;(NULL, '6', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
6;2;2;;100;1;$750;$850;;1;;;;(NULL, '6', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
6;2;2;;250;1;$850;$950;;1;;;;(NULL, '6', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
6;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '6', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
6;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '6', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
7;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '7', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
7;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '7', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
7;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '7', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
7;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '7', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
7;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '7', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
7;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '7', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
7;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '7', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
7;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '7', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
7;3;0;;60;1;$500;$600;0;1;;;;(NULL, '7', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
7;3;0;;100;1;$600;$700;0;1;;;;(NULL, '7', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
7;3;0;;250;1;$700;$800;0;1;;;;(NULL, '7', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
7;3;0;;500;1;$800;$900;0;1;;;;(NULL, '7', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
7;2;2;;60;1;$650;$750;;1;;;;(NULL, '7', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
7;2;2;;100;1;$750;$850;;1;;;;(NULL, '7', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
7;2;2;;250;1;$850;$950;;1;;;;(NULL, '7', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
7;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '7', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
7;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '7', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
8;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '8', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
8;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '8', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
8;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '8', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
8;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '8', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
8;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '8', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
8;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '8', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
8;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '8', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
8;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '8', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
8;3;0;;60;1;$500;$600;0;1;;;;(NULL, '8', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
8;3;0;;100;1;$600;$700;0;1;;;;(NULL, '8', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
8;3;0;;250;1;$700;$800;0;1;;;;(NULL, '8', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
8;3;0;;500;1;$800;$900;0;1;;;;(NULL, '8', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
8;2;2;;60;1;$650;$750;;1;;;;(NULL, '8', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
8;2;2;;100;1;$750;$850;;1;;;;(NULL, '8', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
8;2;2;;250;1;$850;$950;;1;;;;(NULL, '8', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
8;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '8', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
8;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '8', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
9;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '9', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
9;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '9', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
9;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '9', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
9;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '9', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
9;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '9', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
9;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '9', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
9;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '9', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
9;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '9', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
9;3;0;;60;1;$500;$600;0;1;;;;(NULL, '9', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
9;3;0;;100;1;$600;$700;0;1;;;;(NULL, '9', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
9;3;0;;250;1;$700;$800;0;1;;;;(NULL, '9', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
9;3;0;;500;1;$800;$900;0;1;;;;(NULL, '9', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
9;2;2;;60;1;$650;$750;;1;;;;(NULL, '9', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
9;2;2;;100;1;$750;$850;;1;;;;(NULL, '9', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
9;2;2;;250;1;$850;$950;;1;;;;(NULL, '9', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
9;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '9', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
9;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '9', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
10;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '10', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
10;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '10', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
10;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '10', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
10;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '10', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
10;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '10', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
10;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '10', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
10;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '10', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
10;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '10', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
10;3;0;;60;1;$500;$600;0;1;;;;(NULL, '10', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
10;3;0;;100;1;$600;$700;0;1;;;;(NULL, '10', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
10;3;0;;250;1;$700;$800;0;1;;;;(NULL, '10', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
10;3;0;;500;1;$800;$900;0;1;;;;(NULL, '10', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
10;2;2;;60;1;$650;$750;;1;;;;(NULL, '10', '2', '2', '', '60', '1', '650', '750', '1', '', '', '', '1', current_timestamp()),
10;2;2;;100;1;$750;$850;;1;;;;(NULL, '10', '2', '2', '', '100', '1', '750', '850', '1', '', '', '', '1', current_timestamp()),
10;2;2;;250;1;$850;$950;;1;;;;(NULL, '10', '2', '2', '', '250', '1', '850', '950', '1', '', '', '', '1', current_timestamp()),
10;2;2;;500;1;$950;$1.050;;1;;;;(NULL, '10', '2', '2', '', '500', '1', '950', '1050', '1', '', '', '', '1', current_timestamp()),
10;1;1;;1000;1;$1.000;$1.100;;0;;;;(NULL, '10', '1', '1', '', '1000', '1', '1000', '1100', '0', '', '', '', '1', current_timestamp()),
11;2;1;;60;1;$600;$650;450;0;120;6;6;(NULL, '11', '2', '1', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
11;2;1;;100;1;$700;$750;550;0;200;6;6;(NULL, '11', '2', '1', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
11;2;1;;250;1;$800;$850;650;0;500;6;6;(NULL, '11', '2', '1', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
11;2;1;;500;1;$900;$950;750;0;1000;6;6;(NULL, '11', '2', '1', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
11;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '11', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
11;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '11', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
11;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '11', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
11;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '11', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
11;3;0;;60;1;$500;$600;0;1;;;;(NULL, '11', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
11;3;0;;100;1;$600;$700;0;1;;;;(NULL, '11', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
11;3;0;;250;1;$700;$800;0;1;;;;(NULL, '11', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
11;3;0;;500;1;$800;$900;0;1;;;;(NULL, '11', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
11;2;1;;60;1;$700;$750;;1;;;;(NULL, '11', '2', '1', '', '60', '1', '700', '750', '1', '', '', '', '1', current_timestamp()),
11;2;1;;100;1;$800;$850;;1;;;;(NULL, '11', '2', '1', '', '100', '1', '800', '850', '1', '', '', '', '1', current_timestamp()),
11;2;1;;250;1;$900;$950;;1;;;;(NULL, '11', '2', '1', '', '250', '1', '900', '950', '1', '', '', '', '1', current_timestamp()),
11;2;1;;500;1;$1.000;$1.050;;1;;;;(NULL, '11', '2', '1', '', '500', '1', '1000', '1050', '1', '', '', '', '1', current_timestamp()),
12;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '12', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
12;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '12', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
12;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '12', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
12;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '12', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
12;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '12', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
12;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '12', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
12;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '12', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
12;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '12', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
